"prob" "type"
"249" 0.60321702 "1-(1-p1)(1-p2)"
"250" 0.60395765 "1-(1-p1)(1-p2)"
"251" 0.60036285 "1-(1-p1)(1-p2)"
"252" 0.6113265 "1-(1-p1)(1-p2)"
"253" 0.59264036 "1-(1-p1)(1-p2)"
"254" 0.60769168 "1-(1-p1)(1-p2)"
"255" 0.60958228 "1-(1-p1)(1-p2)"
"256" 0.59552249 "1-(1-p1)(1-p2)"
"257" 0.6017388 "1-(1-p1)(1-p2)"
"258" 0.60126859 "1-(1-p1)(1-p2)"
"259" 0.6001369 "1-(1-p1)(1-p2)"
"260" 0.60061696 "1-(1-p1)(1-p2)"
"261" 0.60530536 "1-(1-p1)(1-p2)"
"262" 0.60330342 "1-(1-p1)(1-p2)"
"263" 0.60087139 "1-(1-p1)(1-p2)"
"264" 0.59798917 "1-(1-p1)(1-p2)"
"265" 0.60625104 "1-(1-p1)(1-p2)"
"266" 0.60038644 "1-(1-p1)(1-p2)"
"267" 0.60524434 "1-(1-p1)(1-p2)"
"268" 0.60481724 "1-(1-p1)(1-p2)"
"269" 0.60282916 "1-(1-p1)(1-p2)"
"270" 0.595981 "1-(1-p1)(1-p2)"
"271" 0.59547822 "1-(1-p1)(1-p2)"
"272" 0.6006758 "1-(1-p1)(1-p2)"
"273" 0.61114905 "1-(1-p1)(1-p2)"
"274" 0.60550888 "1-(1-p1)(1-p2)"
"275" 0.6070048 "1-(1-p1)(1-p2)"
"276" 0.6066884 "1-(1-p1)(1-p2)"
"277" 0.6032412 "1-(1-p1)(1-p2)"
"278" 0.6080433 "1-(1-p1)(1-p2)"
"279" 0.60363088 "1-(1-p1)(1-p2)"
"280" 0.60232348 "1-(1-p1)(1-p2)"
"281" 0.59596714 "1-(1-p1)(1-p2)"
"282" 0.60145268 "1-(1-p1)(1-p2)"
"283" 0.59253898 "1-(1-p1)(1-p2)"
"284" 0.5967313 "1-(1-p1)(1-p2)"
"285" 0.5934467 "1-(1-p1)(1-p2)"
"286" 0.60240448 "1-(1-p1)(1-p2)"
"287" 0.6102535 "1-(1-p1)(1-p2)"
"288" 0.60820182 "1-(1-p1)(1-p2)"
"289" 0.60388064 "1-(1-p1)(1-p2)"
"290" 0.5969676 "1-(1-p1)(1-p2)"
"291" 0.60281992 "1-(1-p1)(1-p2)"
"292" 0.59641048 "1-(1-p1)(1-p2)"
"293" 0.60041188 "1-(1-p1)(1-p2)"
"294" 0.6041122 "1-(1-p1)(1-p2)"
"295" 0.60344916 "1-(1-p1)(1-p2)"
"296" 0.6080968 "1-(1-p1)(1-p2)"
"297" 0.60171283 "1-(1-p1)(1-p2)"
"298" 0.60445052 "1-(1-p1)(1-p2)"
"299" 0.60538325 "1-(1-p1)(1-p2)"
"300" 0.60918958 "1-(1-p1)(1-p2)"
